"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
22,"Pattern",2.07236152402085,4,448,0.0834408980575302,-0.083862,0.27643,"ns",0.012713284385807,0.0181670783030512
23,"Pattern",1.13362649717707,4,448,0.339974814301749,-0.11004,0.2174,"ns",0.00668547357706119,0.0100202436028633
24,"Pattern",0.783508638904226,4,448,0.536297237649154,-0.12335,0.16655,"ns",0.00457129995072028,0.00694701422539321
25,"Pattern",1.16398629912813,4,448,0.326013463613657,-0.15945,0.30209,"ns",0.0085886317256939,0.0102858368390395
26,"Pattern",1.26958198212065,4,448,0.281094638462823,-0.18883,0.2394,"ns",0.0093973970836823,0.0112084988741377
27,"Pattern",1.15005115741621,4,448,0.332362430284899,-0.1756,0.16852,"ns",0.00850158168866737,0.0101639473040648
28,"Pattern",0.37090872800954,4,448,0.829386106519703,-0.15612,0.11703,"ns",0.00266174821580154,0.00330075401372177
29,"Pattern",0.554722285255658,4,448,0.695672056870612,-0.12367,0.07006,"ns",0.00397371151933026,0.00492846745114598
30,"Pattern",1.43921017511784,4,448,0.22000262005128,-0.089234,0.023191,"ns",0.0104711888765351,0.0126870609632781
31,"Pattern",0.621553569794161,4,448,0.64734771636413,-0.044495,-0.015575,"ns",0.00406537239504691,0.00551895751827797
32,"Pattern",0.770299861026854,4,448,0.544941660758565,-0.27061,0.25813,"ns",0.00631040811269487,0.00683069799385244
33,"Pattern",0.390639543155523,4,448,0.815369660900166,-0.27006,0.17418,"ns",0.0031647817340309,0.00347573022756513
34,"Pattern",0.479831900248504,4,448,0.750562560449009,-0.22865,0.099464,"ns",0.00353063200698567,0.00426593720973941
35,"Pattern",1.25743136242267,4,448,0.285982344326001,-0.1832,0.042556,"ns",0.00836406025280868,0.0111024181574355
36,"Pattern",2.65940215728904,4,448,0.0322955366208444,-0.14086,0.0073253,"<.05",0.0190038992135291,0.0231939300855667
37,"Pattern",1.58413666245233,4,448,0.177420650153706,-0.091723,-0.035635,"ns",0.0132169125825788,0.0139468125479533
38,"Pattern",0.357033421924092,4,448,0.839132249808007,-0.34659,0.19108,"ns",0.00288338066276364,0.00317766864298879
39,"Pattern",0.173141291386779,4,448,0.952119106850059,-0.33383,0.039461,"ns",0.00129655470436921,0.00154351825573841
40,"Pattern",1.35861471279482,4,448,0.247411649323502,-0.25598,0.0011134,"ns",0.008863728453934,0.0119851033486692
