"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes","T2btw","T2btw_p","T2btw_df1","T2btw_df2","T2acr","T2acr_p","T2acr_df1","T2acr_df2","T2cbtw","T2cbtw_p","T2cbtw_df1","T2cbtw_df2","T2cacr","T2cacr_p","T2cacr_df1","T2cacr_df2"
5,"Speed",0.26904790449977,4,448,0.897857320560762,0.035595,0.13683,"ns",0.00248424387454881,0.00239645663271886,22.2322808147871,1.96420090348148e-06,2,27,26.6695119881989,2.93913782201116e-11,2,259,0.33670969929832,0.000240005825291489,2,54,0.0465828171434552,6.9180513757594e-06,2,518
6,"Speed",0.164980866849113,4,448,0.956060802403502,-2.187e-17,0.089291,"ns",0.00117416732823246,0.00147087678858486,18.4529085616689,8.88414259403447e-06,2,27,35.3379851544895,2.68673971959288e-14,2,259,0.2142277269912,0.0037294308995327,2,54,0.0467899971639228,6.56984247437986e-06,2,518
7,"Speed",0.657793449052799,4,448,0.621637415359988,-0.028292,0.036037,"ns",0.00444258741793233,0.00583886324162982,13.4903151511526,8.67358170741905e-05,2,27,24.1542672639652,2.40661157668853e-10,2,259,0.255796414753984,0.00142421940783932,2,54,0.0422107729739413,2.06222996291805e-05,2,518
8,"Speed",1.1281547054824,4,448,0.342542048314177,0.15945,0.30209,"ns",0.00814843913485072,0.0099723601823033,18.4340077562173,8.95539235079568e-06,2,27,18.5418910565327,2.9793820410795e-08,2,259,0.245594218666268,0.00179808768177592,2,54,0.0263305811919747,0.00113322375298308,2,518
9,"Speed",1.11969048656986,4,448,0.346544116134526,0.083862,0.27643,"ns",0.00868900508957714,0.00989828103094744,19.2630490550552,6.33603637123503e-06,2,27,21.5590752986749,2.18484974556787e-09,2,259,0.274032913682884,0.000943560171443814,2,54,0.0324698973489324,0.000239023789082693,2,518
10,"Speed",0.321984949793087,4,448,0.863246019471153,0.050145,0.23852,"ns",0.00241421218247859,0.00286662446302931,24.0856747150985,9.9243972173646e-07,2,27,41.5063906444557,2.22044604925031e-16,2,259,0.388860455674484,8.08188891177064e-05,2,54,0.0593175716276088,2.9484470109864e-07,2,518
11,"Speed",0.544581941574821,4,448,0.703078721163163,-4.8953e-17,0.19987,"ns",0.00413742871747077,0.00483881082660673,28.5932002301442,2.15102082146146e-07,2,27,27.5289227714056,1.44401157697871e-11,2,259,0.412146102427379,5.04018798109795e-05,2,54,0.0506314292435637,2.52637982012249e-06,2,518
12,"Speed",0.224414352966471,4,448,0.924738876397252,-0.035595,0.13683,"ns",0.00183141127575523,0.0019996927964413,29.5312539269591,1.59743006378221e-07,2,27,38.409924687544,2.44249065417534e-15,2,259,0.345891961315718,0.000197513554076267,2,54,0.0521748608054368,1.72252444174958e-06,2,518
13,"Speed",0.771763789510993,4,448,0.543979577846296,-0.058411,0.078036,"ns",0.00534988025795144,0.00684359066114718,18.2716535269467,9.59330679162207e-06,2,27,36.7203602984705,9.10382880192628e-15,2,259,0.23428404259818,0.00233383486224703,2,54,0.0455342681176285,8.98598941279083e-06,2,518
14,"Speed",0.852739808958292,4,448,0.492374682652129,0.044058,0.32872,"ns",0.00690764403879755,0.00755621715876677,17.7331376829614,1.20835644580319e-05,2,27,18.2962097102688,3.6943505810072e-08,2,259,0.249898729780569,0.00162926449596357,2,54,0.0292840828321476,0.000535376191841408,2,518
