"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
46,"Pattern",2.44391021594644,4,304,0.0466913957811785,-0.24052,-0.075603,"<.05",0.020903919734811,0.0311548749828847
47,"Pattern",2.31870247855335,4,304,0.0570799866779952,-0.19145,-0.085584,"ns",0.0206995811843842,0.0296059868865716
48,"Pattern",2.3325045112471,4,304,0.0558340100798438,-0.45895,0.17222,"ns",0.0229230750898464,0.0297769683964617
49,"Pattern",3.60288684943311,4,304,0.00690226754182305,-0.46317,0.03064,"<.01",0.0326458991289926,0.0452607561362427
50,"Pattern",8.86934050093656,4,304,8.73048524873547e-07,-0.27341,-0.16219,"<.0001",0.0790653595695105,0.104505825644288
51,"Pattern",4.29479226917354,4,304,0.00214616043351627,-0.20096,-0.14301,"<.005",0.0423776820546535,0.0534878059684872
52,"Pattern",2.32097146021545,4,304,0.0568733362130216,-0.15394,-0.11866,"ns",0.0212965850136687,0.0296340994875738
53,"Pattern",4.1032318007595,4,304,0.00296931329486387,-0.099452,-0.09574,"<.005",0.035765169050484,0.051224297803183
54,"Pattern",5.06334221336004,4,304,0.000579813994583158,-0.050987,-0.076676,"<.001",0.0441813991290729,0.0624615525971436
55,"Pattern",3.02581459594947,4,304,0.018053444662237,5.8045e-18,-0.047397,"<.05",0.0307790828845733,0.0382889390184731
56,"Pattern",5.47189056168914,4,304,0.000288429085526264,-0.41976,-0.1671,"<.0005",0.0602532042739467,0.0671629260590917
57,"Pattern",8.18026527372367,4,304,2.81548068063997e-06,-0.33631,-0.19112,"<.0001",0.0784023980041554,0.0971755701544111
58,"Pattern",13.2316989491541,4,304,5.9778716731713e-10,-0.22492,-0.21452,"<.0001",0.103665934127963,0.148284736309837
59,"Pattern",6.52806815672673,4,304,4.73079933219168e-05,-0.15297,-0.18922,"<.0001",0.0539111645203679,0.0791011870571047
60,"Pattern",6.50921715427161,4,304,4.88592793303447e-05,-0.10478,-0.15427,"<.0001",0.0451157365520261,0.0788907879479816
61,"Pattern",6.72241910536312,4,304,3.39226654081773e-05,-0.054807,-0.12811,"<.0001",0.0483316414519551,0.0812647789809049
62,"Pattern",5.84800853805633,4,304,0.000151540749504402,1.1987e-17,-0.097882,"<.0005",0.0383681064495205,0.0714496130389931
63,"Pattern",5.96975013307157,4,304,0.000123033398928798,-0.349,-0.28153,"<.0005",0.0692037219675532,0.0728286974570514
64,"Pattern",11.9824129128093,4,304,4.69866449351411e-09,-0.25813,-0.2804,"<.0001",0.115071059150497,0.136191001316182
65,"Pattern",12.0819737931196,4,304,3.98360807130577e-09,-0.16624,-0.26054,"<.0001",0.0720061843013059,0.137167382528199
66,"Pattern",11.5766346206204,4,304,9.22111127168869e-09,-0.10296,-0.21873,"<.0001",0.084674524870859,0.1321886216657
67,"Pattern",6.51927424101463,4,304,4.80254312772865e-05,-0.04676,-0.18643,"<.0001",0.0405253848067842,0.0790030486934936
68,"Pattern",11.4302130393704,4,304,1.17671576696984e-08,-0.22108,-0.37388,"<.0001",0.0980835440749694,0.130735276079258
69,"Pattern",16.6537731010658,4,304,2.35818896650981e-12,-0.1585,-0.34149,"<.0001",0.139771871515765,0.179741985066275
70,"Pattern",15.529900394748,4,304,1.42581211900473e-11,-0.093018,-0.29235,"<.0001",0.109917541180068,0.169670242486565
71,"Pattern",12.537177057653,4,304,1.87587772688116e-09,-0.039316,-0.23611,"<.0001",0.0773351683700814,0.141603532824286
72,"Pattern",9.90748386467923,4,304,1.50946807710013e-07,2.5091e-17,-0.20489,"<.0001",0.0621723142053382,0.115327366359436
73,"Pattern",14.81113650883,4,304,4.54975705699397e-11,-0.10679,-0.41491,"<.0001",0.113465301260429,0.163098239689907
