"Channel","t","df","p","CI.low","CI.high"
85,10.2850794044215,28,5.15615797226187e-11,0.529924363129428,0.75453515307355
86,9.13311714586088,28,6.84952525841468e-10,0.439159403693974,0.647805668721953
87,7.12521200850628,28,9.40717789580259e-08,0.39371555668086,0.648210916170036
88,11.765076436102,28,2.37163734762484e-12,0.525971063737915,0.714703382854649
89,10.2018398634318,28,6.18031217495426e-11,0.547149490736261,0.782708386946807
90,10.088013968291,28,7.92912756494402e-11,0.632440779529924,0.914797396143332
91,10.3428496068717,28,4.54926341259602e-11,0.570073743693493,0.812950830088826
92,9.70338061723295,28,1.86308590971229e-10,0.455721588621563,0.657688386010768
93,10.0333772085286,28,8.94177405527864e-11,0.428127950884151,0.607590673441464
94,11.0676919317721,28,9.7923205669445e-12,0.468520670635266,0.645750459489527
95,10.6616206871423,28,2.29675635607355e-11,0.495512470515754,0.693936243621612
96,9.5748398789489,28,2.48926900900598e-10,0.545816475211404,0.800273342372282
97,10.443637014287,28,3.66012586661009e-11,0.469610046100462,0.660545724129048
98,10.7517014068955,28,1.89770559272678e-11,0.421489161364095,0.583014962648363
99,9.73720558491365,28,1.72692619096411e-10,0.405717901829823,0.580152785066133
100,10.2948598327624,28,5.04784505319128e-11,0.426665453551597,0.599711118303421
101,8.88861098501875,28,1.21277184847113e-09,0.46400474369846,0.694989822678373
102,11.5106105333708,28,3.95264598674071e-12,0.415487685208243,0.56145999097953
103,8.46473439268958,28,3.32692111732937e-09,0.403252919888876,0.610707439176819
104,7.05986013617236,28,1.11361233983609e-07,0.3830703051398,0.63218202232939
105,7.22313817572377,28,7.31253325690195e-08,0.38555283334734,0.628769748354568
106,8.33515860790777,28,4.55060446253172e-09,0.443982197652604,0.682254122414639
107,12.6198638003891,28,4.4987580412815e-13,0.419958441559407,0.552346583555464
108,12.3411310397215,28,7.66761758795345e-13,0.425193193603642,0.563250070117666
109,10.3656107728407,28,4.33075659850429e-11,0.41987278532666,0.588100551486258
110,7.91825181206356,28,1.26530962395188e-08,0.380678976950083,0.591692198446997
111,7.29158648152818,28,6.13619325997826e-08,0.382022089023914,0.619305087310926
112,7.9789469623623,28,1.08875349907256e-08,0.431933530954087,0.676193794999319
113,15.5372296742765,28,2.69880472946511e-15,0.438648783415769,0.548080600844675
114,10.0917829704484,28,7.86376850013796e-11,0.433264036976075,0.614039632889171
115,12.1622935117847,28,1.0843721605172e-12,0.450169020845053,0.6007839854818
116,12.1854750272335,28,1.03652816288005e-12,0.421492154184691,0.560173166968743
117,10.4977970482079,28,3.25816121555379e-11,0.442139432049259,0.618531682897446
118,10.8553355853605,28,1.52548391242892e-11,0.476034409619246,0.661032884692266
119,13.0243603192803,28,2.10595551560598e-13,0.423581497957249,0.552443062101429
120,11.601072159303,28,3.29345518884139e-12,0.434576589317823,0.587353153667627
121,8.48834956892498,28,3.14307684776766e-09,0.454646531472609,0.694034722422176
122,9.87202280192877,28,1.27804599853016e-10,0.43517906968122,0.6220353335142
123,10.3494727261922,28,4.48453815114088e-11,0.452201872154491,0.636712021684679
124,11.5240413554115,28,3.84678196847227e-12,0.470805812183147,0.640488147236456
125,13.3802730637637,28,1.09520815735176e-13,0.462063885891332,0.600790702975482
126,14.0353638299873,28,3.39779021164161e-14,0.443196354003481,0.567893302171919
127,7.08906660280758,28,1.03266666790459e-07,0.419951443329846,0.697595042466213
128,7.48521334449929,28,3.74770027723868e-08,0.426120457128037,0.688182426140601
